toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
2271.01,258389327,APC,19h46m50.47s,296.710289,+70d04m18.99s,70.071943,15.974,0.043,-0.043,0.0,-0.306,0.047,-0.047,0.0,2459753.691039,0.000887,-0.000887,0,26.5456672,3.18e-05,-3.18e-05,0,2.582,0.115,-0.115,0,8290.0,1042.8,-1042.8,0,29.1697,6.11826,-6.11826,0,28.3073,,,,642.0,,,,11.8248,0.01,-0.01,0,543.564,6.4005,-6.4005,0,6180.0,135.7,-135.7,0,4.06,0.09,-0.09,0,1.68,0.08,-0.08,0,2020-09-30 13:26:55,2023-02-24 10:10:01
2272.01,265460043,APC,23h59m24.74s,359.853101,+68d23m02.83s,68.384119,32.164,0.059,-0.059,0.0,2.441,0.052,-0.052,0.0,2458773.807867,0.006628,-0.006628,0,32.8236817,0.0090141,-0.0090141,0,15.237374,0.6431936,-0.6431936,0,368.5500142,45.867332,-45.867332,0,5.1519952,0.9513825,-0.9513825,0,206.9642192,,,,967.3721204,,,,8.1526,0.006,-0.006,0,179.828,1.266,-1.266,0,6258.0,129.51,-129.51,0,3.68336,0.0853692,-0.0853692,0,2.63025,0.120588,-0.120588,0,2020-09-30 13:26:55,2024-11-20 12:02:56
2302.01,144000801,APC,22h25m07s,336.279186,-52d32m12.02s,-52.536671,48.908,0.059,-0.059,0.0,-11.493,0.076,-0.076,0.0,2459063.140785,0.00106,-0.00106,0,1.3103832,0.0001108,-0.0001108,0,1.6240216,0.0862775,-0.0862775,0,3904.2824741,157.48242,-157.48242,0,9.8603222,9.513131,-9.513131,0,1134.2779729,,,,1480.1291921,,,,11.0075,0.006,-0.006,0,171.909,1.2375,-1.2375,0,5228.0,123.146,-123.146,0,4.45189,0.0823391,-0.0823391,0,0.928507,0.0527638,-0.0527638,0,2020-10-01 13:35:29,2021-10-29 12:59:15
2305.01,232079930,APC,01h58m25.93s,29.608056,-66d20m20.96s,-66.339155,19.051,0.043,-0.043,0.0,10.014,0.036,-0.036,0.0,2459062.290253,0.001672,-0.001672,0,0.918902,0.0001013,-0.0001013,0,1.781955,0.1213853,-0.1213853,0,6718.8492909,410.9644,-410.9644,0,15.2109193,15.423432,-15.423432,0,3475.7112909,,,,1958.3065353,,,,12.8483,0.006,-0.006,0,568.299,7.459,-7.459,0,5382.0,5385.2,-5385.2,0,4.4,2.0,-2.0,0,1.1659,0.0806182,-0.0806182,0,2020-10-01 13:35:30,2021-10-29 12:59:15
2311.01,25139786,APC,21h45m05.46s,326.272747,-20d01m57.05s,-20.032514,11.708,1.008,-1.008,0.0,1.555,1.006,-1.006,0.0,2459062.770201,0.001343,-0.001343,0,1.5933772,0.0001759,-0.0001759,0,1.7732569,0.086427,-0.086427,0,7842.0221441,402.01895,-402.01895,0,9.012542,0.3485221,-0.3485221,0,785.5954321,,,,1350.2664813,,,,12.0892,0.006,-0.006,0,264.874,,,0,5289.4,5240.2,-5240.2,0,4.5,2.0,-2.0,0,0.885125,,,0,2020-10-01 13:35:30,2021-10-29 12:59:15
2315.01,302333151,APC,21h22m05.78s,320.524083,-27d33m15.87s,-27.554409,-7.044,0.09,-0.09,0.0,-8.149,0.058,-0.058,0.0,2459062.373149,0.00037,-0.00037,0,1.440707,1.8e-06,-1.8e-06,0,1.8086852,0.048963,-0.048963,0,4514.4039925,164.745,-164.745,0,9.984491,1.320125,-1.320125,0,2629.3283978,,,,1826.3371679,,,,11.0675,0.006,-0.006,0,290.436,5.3815,-5.3815,0,5941.2,5990.0,-5990.0,0,4.3,0.6,-0.6,0,1.1648901,0.0570854,-0.0570854,0,2020-10-01 13:35:30,2025-03-07 11:45:34
2318.01,88840705,APC,17h30m21.44s,262.589332,+40d22m10.07s,40.369465,17.54,2.0,-2.0,0.0,-55.45,2.0,-2.0,0.0,2459026.647613,0.002501,-0.002501,0,,,,0,4.6833042,0.1776144,-0.1776144,0,2749.2099367,151.12294,-151.12294,0,6.5071192,2.000792,-2.000792,0,9.1909015,,,,444.0780191,,,,8.6512,0.008,-0.008,0,45.0103,,,0,4968.0,,,0,4.438,,,0,0.844548,,,0,2020-10-05 21:01:55,2022-07-19 12:02:35
2325.01,152800085,APC,22h54m10.71s,343.544632,-36d17m16s,-36.287777,-7.675,0.053,-0.053,0.0,-17.953,0.052,-0.052,0.0,2460155.146047,0.001495,-0.001495,0,4.26991,2e-05,-2e-05,0,1.509,0.271,-0.271,0,2240.0,14.6924,-14.6924,0,8.95578,0.777438,-0.777438,0,667.336,,,,1415.0,,,,9.5103,0.006,-0.006,0,223.852,1.705,-1.705,0,6580.0,127.7,-127.7,0,4.16,0.09,-0.09,0,1.62,0.07,-0.07,0,2020-10-07 15:20:38,2025-06-04 16:00:01
2335.01,160003961,APC,03h23m18.39s,50.826623,-40d27m12.66s,-40.453518,-4.119,0.032,-0.032,0.0,9.349,0.043,-0.043,0.0,2459169.502915,0.0009,-0.0009,0,1.4492052,3.3e-06,-3.3e-06,0,1.104,0.152,-0.152,0,1200.0,2.90396,-2.90396,0,6.15666,0.36231,-0.36231,0,551.777,,,,1350.0,,,,12.1323,0.006,-0.006,0,439.747,4.048,-4.048,0,6004.9,117.5,-117.5,0,4.39,0.08,-0.08,0,1.12,0.05,-0.05,0,2020-10-23 19:58:26,2021-10-29 12:59:15
2347.01,301343785,APC,03h29m57.03s,52.487605,-00d54m15.18s,-0.904217,4.724,0.063,-0.063,0.0,-2.184,0.058,-0.058,0.0,2459169.738716,0.001712,-0.001712,0,1.1736318,4.7e-06,-4.7e-06,0,1.397,0.26,-0.26,0,1470.0,3.58836,-3.58836,0,8.1147,0.553864,-0.553864,0,1505.41,,,,1735.0,,,,11.6751,0.007,-0.007,0,587.369,13.9635,-13.9635,0,6033.7,103.7,-103.7,0,3.92,0.08,-0.08,0,1.93,0.09,-0.09,0,2020-10-23 19:58:27,2021-10-29 12:59:15
